wavl,"AS(5.00,0.00)","AS(4.00,0.00)","AS(2.80,0.00)","S(2.80,0.00)","AS(0.00,2.00)","S(0.00,2.00)"
1.547878787878788,-576.7125490499348,-576.7125490499348,-597.2939923299546,-597.2939923299546,-597.2939923299546,-597.2939923299546
1.5480808080808082,-576.576319877744,-576.576319877744,-595.1365089634746,-595.1365089634746,-595.1365089634746,-595.1365089634746
1.5482828282828285,-576.4401341488319,-576.4401341488319,-592.993407501297,-592.993407501297,-592.993407501297,-592.993407501297
1.5484848484848486,-576.3039917092319,-576.3039917092319,-590.864168338012,-590.864168338012,-590.864168338012,-590.864168338012
1.548686868686869,-576.1678924049884,-576.1678924049884,-588.7482718682058,-588.7482718682058,-588.7482718682058,-588.7482718682058
1.548888888888889,-576.0318360821439,-576.0318360821439,-586.6451984864652,-586.6451984864652,-586.6451984864652,-586.6451984864652
1.549090909090909,-575.8958225867518,-575.8958225867518,-584.5544285873748,-584.5544285873748,-584.5544285873748,-584.5544285873748
1.5492929292929294,-575.7598517648403,-575.7598517648403,-582.4754425655174,-582.4754425655174,-582.4754425655174,-582.4754425655174
1.5494949494949497,-575.6239234624554,-575.6239234624554,-580.4077208154831,-580.4077208154831,-580.4077208154831,-580.4077208154831
1.5496969696969698,-575.4880375256453,-575.4880375256453,-578.3507437318585,-578.3507437318585,-578.3507437318585,-578.3507437318585
1.54989898989899,-575.3521938004506,-575.3521938004506,-576.3039917092337,-576.3039917092337,-576.3039917092337,-576.3039917092337
1.5501010101010102,-575.2163921329138,-575.2163921329138,-574.2669451421862,-574.2669451421862,-574.2669451421862,-574.2669451421862
1.5503030303030303,-575.0806323690776,-575.0806323690776,-572.2390844253041,-572.2390844253041,-572.2390844253041,-572.2390844253041
1.5505050505050506,-574.9449143549882,-574.9449143549882,-570.2198899531759,-570.2198899531759,-570.2198899531759,-570.2198899531759
1.5507070707070707,-574.8092379366808,-574.8092379366808,-568.2088421203971,-568.2088421203971,-568.2088421203971,-568.2088421203971
1.550909090909091,-574.6736029602052,-574.6736029602052,-566.2054213215379,-566.2054213215379,-566.2054213215379,-566.2054213215379
1.551111111111111,-574.5380092715986,-574.5380092715986,-564.2091079511865,-564.2091079511865,-564.2091079511865,-564.2091079511865
1.5513131313131314,-574.4024567169126,-574.4024567169126,-562.2193824039387,-562.2193824039387,-562.2193824039387,-562.2193824039387
