wavl,"AS(0.00,0.50)","AS(0.00,0.70)","AS(0.00,0.90)","AS(0.00,1.10)","AS(0.00,1.30)","AS(0.00,1.50)"
1.4467336683417085,-653.6136361991448,-653.6136361991448,-653.6136361991448,-653.6136361991448,-653.6136361991448,-653.6136361991448
1.4482412060301506,-652.2933593915805,-652.2933593915805,-652.2933593915805,-652.2933593915805,-652.2933593915805,-652.2933593915805
1.449748743718593,-650.9797387332983,-650.9797387332983,-650.9797387332983,-650.9797387332983,-650.9797387332983,-650.9797387332983
1.451256281407035,-649.672710247858,-649.672710247858,-649.672710247858,-649.672710247858,-649.672710247858,-649.672710247858
1.4527638190954772,-648.3722099588231,-648.3722099588231,-648.3722099588231,-648.3722099588231,-648.3722099588231,-648.3722099588231
1.4542713567839196,-647.0781738897695,-647.0781738897695,-647.0781738897695,-647.0781738897695,-647.0781738897695,-647.0781738897695
1.4557788944723618,-645.7905380642587,-645.7905380642587,-645.7905380642587,-645.7905380642587,-645.7905380642587,-645.7905380642587
1.457286432160804,-644.5092385058579,-644.5092385058579,-644.5092385058579,-644.5092385058579,-644.5092385058579,-644.5092385058579
1.4587939698492465,-643.2342112381357,-643.2342112381357,-643.2342112381357,-643.2342112381357,-643.2342112381357,-643.2342112381357
1.4603015075376884,-641.9653922846592,-641.9653922846592,-641.9653922846592,-641.9653922846592,-641.9653922846592,-641.9653922846592
1.4618090452261303,-640.7027176689935,-640.7027176689935,-640.7027176689935,-640.7027176689935,-640.7027176689935,-640.7027176689935
1.463316582914573,-639.4461234147075,-639.4461234147075,-639.4461234147075,-639.4461234147075,-639.4461234147075,-639.4461234147075
1.464824120603015,-638.1955455453699,-638.1955455453699,-638.1955455453699,-638.1955455453699,-638.1955455453699,-638.1955455453699
1.4663316582914572,-636.9509200845423,-636.9509200845423,-636.9509200845423,-636.9509200845423,-636.9509200845423,-636.9509200845423
1.467839195979899,-635.7121830557953,-635.7121830557953,-635.7121830557953,-635.7121830557953,-635.7121830557953,-635.7121830557953
1.4693467336683417,-634.4792704826996,-634.4792704826996,-634.4792704826996,-634.4792704826996,-634.4792704826996,-634.4792704826996
1.4708542713567838,-633.2521183888184,-633.2521183888184,-633.2521183888184,-633.2521183888184,-633.2521183888184,-633.2521183888184
1.472361809045226,-632.0306627977134,-632.0306627977134,-632.0306627977134,-632.0306627977134,-632.0306627977134,-632.0306627977134
1.4738693467336683,-630.8148397329642,-630.8148397329642,-630.8148397329642,-630.8148397329642,-630.8148397329642,-630.8148397329642
1.4753768844221105,-629.6045852181251,-629.6045852181251,-629.6045852181251,-629.6045852181251,-629.6045852181251,-629.6045852181251
1.4768844221105526,-628.3998352767685,-628.3998352767685,-628.3998352767685,-628.3998352767685,-628.3998352767685,-628.3998352767685
1.478391959798995,-627.2005259324706,-627.2005259324706,-627.2005259324706,-627.2005259324706,-627.2005259324706,-627.2005259324706
1.479899497487437,-626.0065932087819,-626.0065932087819,-626.0065932087819,-626.0065932087819,-626.0065932087819,-626.0065932087819
1.4814070351758792,-624.8179731292767,-624.8179731292767,-624.8179731292767,-624.8179731292767,-624.8179731292767,-624.8179731292767
1.4829145728643216,-623.6346017175274,-623.6346017175274,-623.6346017175274,-623.6346017175274,-623.6346017175274,-623.6346017175274
1.4844221105527635,-622.4564149970902,-622.4564149970902,-622.4564149970902,-622.4564149970902,-622.4564149970902,-622.4564149970902
1.485929648241206,-621.2833489915411,-621.2833489915411,-621.2833489915411,-621.2833489915411,-621.2833489915411,-621.2833489915411
1.4874371859296482,-620.1153397244489,-620.1153397244489,-620.1153397244489,-620.1153397244489,-620.1153397244489,-620.1153397244489
