wavl,"AS(0.00,0.50)","AS(0.00,0.70)","AS(0.00,0.90)","AS(0.00,1.10)","AS(0.00,1.30)","AS(0.00,1.50)"
1.4693467336683417,-1082.080207002692,-1104.4901136992492,-1014.3886881978804,-906.5724621464436,-808.7485050283428,-730.2928764214453
1.4708542713567838,-1079.363871477662,-1102.8019494752518,-1013.6778980281694,-906.3329999300072,-808.6854554651057,-730.2248145153455
1.472361809045226,-1080.363528519353,-1102.1446788695523,-1012.1856199778626,-904.5624262731826,-806.82604124733,-728.3578791230344
1.4738693467336683,-1082.6069583445571,-1101.830819485725,-1010.4314869194344,-902.2807893319392,-804.3681467349611,-725.8925493592728
1.4753768844221105,-1084.9077006307098,-1101.5304037561418,-1008.664828710664,-899.9775716882646,-801.8866009086175,-723.4049014028906
1.4768844221105526,-1087.2298934538785,-1101.2333964540453,-1006.893086874304,-897.6674642147088,-799.3986739150432,-720.9122466982984
1.478391959798995,-1089.3342686469462,-1100.8785830214129,-1005.1745331444598,-895.457883385742,-797.0288981768895,-718.538885328595
1.479899497487437,-1089.8078198174671,-1100.1047743171696,-1003.8537781086692,-893.9837143624454,-795.5132395974654,-717.0193926190586
1.4814070351758792,-1087.347270511843,-1098.5788251038205,-1003.2486632343524,-893.8305305420071,-795.5305026590805,-717.0312907552851
1.4829145728643216,-1082.9870676008527,-1096.565046654486,-1003.1067315967068,-894.5333509464535,-796.5417055621512,-718.036622507099
1.4844221105527635,-1078.2478756983587,-1094.4520138778348,-1003.0569112106172,-895.40869219513,-797.7545818980323,-719.2446258472918
1.485929648241206,-1073.4864177340617,-1092.3308308394369,-1003.0120790286434,-896.2961370868074,-798.9831954517371,-720.4697203523203
1.4874371859296482,-1068.7076125357023,-1090.20147067349,-1002.9689576732828,-897.1911724143322,-800.2227190223371,-721.7072550910572
1.4889447236180904,-1064.300371180734,-1088.0674784858338,-1002.6771847610504,-897.7466102669359,-801.1011492855916,-722.598779944582
1.4904522613065323,-1061.2991178311177,-1085.9384402237442,-1001.4710923833966,-897.0392718018913,-800.6293025588558,-722.1911468415283
1.4919597989949749,-1060.0403069619194,-1083.8174100935687,-999.1340672901002,-894.7687760786457,-798.4853296763686,-720.1742328177725
1.493467336683417,-1059.560806048151,-1081.695280501402,-996.2856150295848,-891.7943627805489,-795.5899272155496,-717.4351976689893
1.4949748743718592,-1059.148342940975,-1079.5652914452382,-993.383844393041,-888.7514289815346,-792.6239420381456,-714.6300886095675
1.4964824120603015,-1058.7397928980324,-1077.4267577718597,-990.4692204881984,-885.6961380027482,-789.6475659202622,-711.8169067702594
1.4979899497487437,-1058.3011685846147,-1075.2848051298004,-987.571644401347,-882.6672130382128,-786.7011729335624,-709.0339646670494
1.4994974874371858,-1057.403103462143,-1073.2054136082004,-985.0707681210528,-880.1559425522664,-784.2968888800334,-706.7672313746089
1.501005025125628,-1055.4253370277695,-1071.283944549344,-983.5151077660224,-878.8721192086277,-783.1746072237697,-705.718810193726
1.5025125628140703,-1052.5301812468642,-1069.4953103477935,-982.7609188060246,-878.6297749055077,-783.1404849733918,-705.7047594149128
1.5040201005025124,-1049.3591060084786,-1067.7406742033077,-982.2405952324845,-878.6944798774028,-783.4289655007558,-705.9986244999671
1.5055276381909546,-1046.1706197398798,-1065.9801424830025,-981.7252973695818,-878.7701559929769,-783.7314276934313,-706.3075480202209
1.507035175879397,-1042.968871455339,-1064.2129737885546,-981.211195298776,-878.8518788374128,-784.0427472630851,-706.6266678348702
1.508542713567839,-1039.8081419667778,-1062.5109752627327,-980.7766236334356,-879.0156218460295,-784.4326487168372,-707.017901594635
1.5100502512562812,-1036.940382250517,-1061.2072878051422,-980.784920666986,-879.6137419003448,-785.2245026146056,-707.7684235695177
1.5115577889447236,-1034.555278879542,-1060.5527343777426,-981.509650949868,-880.9115374084422,-786.6617831445211,-709.0944540785772
1.5130653266331655,-1032.4487557755228,-1060.2775561812136,-982.6566463302051,-882.6237457911536,-788.4826968248608,-710.7634980445539
1.514572864321608,-1030.380102541125,-1060.063561215739,-983.8789186535882,-884.4138820628975,-790.3784417078576,-712.5013133615523
1.5160804020100502,-1028.3047065006408,-1059.8518123921212,-985.1122163422564,-886.2196461361448,-792.291844208849,-714.2571227066246
1.5175879396984924,-1026.191339906632,-1059.6233151432675,-986.3476573483528,-888.037819865925,-794.2230777347531,-716.0330118351587
1.5190954773869343,-1022.7955345899812,-1058.62181841699,-987.232417382318,-889.7415291845243,-796.1806054663566,-717.9138037031116
1.5206030150753769,-1015.3465071752028,-1055.1635667169803,-986.9809761496732,-891.0483348956917,-798.1833195030226,-720.0884087024801
1.522110552763819,-1003.376630748396,-1048.964376375304,-985.460736541027,-891.9105401586504,-800.2343750528219,-722.5886729316333
1.5236180904522612,-989.54742840809,-1041.641571613031,-983.4261859855906,-892.5993774279025,-802.3155466309457,-725.233049357047
1.5251256281407035,-975.5357462470052,-1034.2141125136693,-981.3526652529684,-893.2857188983542,-804.4153368043133,-727.9071412359098
1.5266331658291457,-961.4466671358592,-1026.7458371536611,-979.2699350722484,-893.9802394757243,-806.5329876114392,-730.6037385938289
1.5281407035175878,-947.7132617807608,-1019.4420475392972,-977.2103246121068,-894.6295506266051,-808.5720653903804,-733.2090601161317
1.5296482412060302,-938.3477371935346,-1014.2051745283642,-975.4739795855168,-894.7397422302806,-809.6398867609811,-734.6696964851724
1.5311557788944723,-938.2875426948634,-1013.3763736855096,-974.4302789588846,-893.7030249533002,-808.6379298830732,-733.6893352048265
1.5326633165829144,-945.3555932192422,-1015.9232823150244,-973.9162413981868,-891.7872693156393,-806.050441897169,-730.8394372128188
1.5341708542713568,-954.2614826660642,-1019.337285819292,-973.535924619334,-889.6435346597007,-803.0542898109782,-727.5088012918297
1.535678391959799,-963.2380984055516,-1022.7804192846698,-973.1570243401728,-887.4892319054788,-800.0425142754387,-724.1612586020573
1.537185929648241,-972.2718394296402,-1026.2461794711444,-972.7784315590284,-885.325928357245,-797.0180291159375,-720.8002681568719
1.5386934673366834,-980.5019560207824,-1029.3228898562402,-972.3264741393704,-883.2468024412121,-794.1578624581091,-717.636977044824
1.5402010050251256,-984.7415038280568,-1030.486440152166,-971.52858679676,-881.5970835163816,-792.1177059794956,-715.4534006748194
1.5417085427135675,-983.1124142646952,-1028.8386511491035,-970.2241150869576,-880.5801799009828,-791.2839226005406,-714.7103450201067
1.54321608040201,-978.3743035606705,-1025.699179173864,-968.6489336196552,-879.8969913210108,-791.0885738967393,-714.7304879947259
1.5447236180904522,-973.2240342905684,-1022.3576704669284,-967.0335514417244,-879.2552170741162,-790.9766343309213,-714.8519078130131
1.5462311557788944,-968.048302617096,-1018.9990025363564,-965.4109548899868,-878.6128706793249,-790.8684437664424,-714.9796175506738
1.5477386934673367,-962.8825848407804,-1015.6367867134848,-963.7781975071356,-877.9590028340865,-790.7492932555703,-715.0977011835571
1.5492462311557789,-958.5829464746384,-1012.6008524308048,-962.0664151552272,-877.0319524530219,-790.266882280703,-714.8246944279026
1.550753768844221,-956.7626898674272,-1010.512834041917,-960.1459151287748,-875.3387025386025,-788.7573820543196,-713.4418063720157
1.5522613065326634,-957.4396156772192,-1009.3795314978304,-958.0151708330864,-872.8737041678753,-786.2133554018355,-710.9409949598619
1.5537688442211055,-959.0202894711704,-1008.586847371468,-955.8020856409628,-870.123683439558,-783.290229495223,-708.0319757748421
1.5552763819095476,-960.650562365904,-1007.805571538251,-953.5751763802856,-867.3494951287887,-780.3392884235665,-705.0951345408799
