wavl,Symmetric 2,Anti-Symmetric 2,Symmetric N,Anti-Symmetric N
1.5377377377377400,-574.0885834391600,-594.5934574565500,-563.8361462596880,-604.8458942944670
1.537837837837840,-574.1747805452860,-594.3697146115490,-564.0773136829510,-604.4671818154760
1.5379379379379400,-574.2610543474380,-594.1459196874840,-564.3186217343650,-604.0883524144570
1.538038038038040,-574.3474044954370,-593.9220737940340,-564.5600697322740,-603.7094083294690
1.5381381381381400,-574.4338314336960,-593.6981771327200,-564.8016585841850,-603.330349982231
1.5382382382382400,-574.52033572381,-593.4742286492800,-565.0433894319800,-602.9511752829190
1.5383383383383400,-574.6069172452110,-593.2502276292080,-565.2852620532120,-602.5718828212060
1.5384384384384400,-574.693575187642,-593.0261755288400,-565.5272748460650,-602.1924755284620
1.5385385385385400,-574.7803101126740,-592.8020724332850,-565.769428952368,-601.8129535935910
1.5386386386386400,-574.8671216682420,-592.5779177454150,-566.0117236866780,-601.4333158410250
1.5387387387387400,-574.9540105324180,-592.3537108636490,-566.2541604238250,-601.0535610862870
1.538838838838840,-575.0409770381820,-592.1294515316790,-566.4967398484740,-600.6736888354680
1.538938938938940,-575.1280190043430,-591.9051415510590,-566.7394576169210,-600.2937027103530
1.5390390390390400,-575.215138021322,-591.6807800924850,-566.9823169287000,-599.9136010710250
1.5391391391391400,-575.302334537608,-591.4563663279370,-567.2253186994840,-599.5333822801430
1.5392392392392400,-575.3896075169000,-591.2319006858640,-567.4684608753590,-599.1530472132870
1.5393393393393400,-575.4769577485300,-591.007383138234,-567.7117450536780,-598.772595833086
1.5394394394394400,-575.5643840799630,-590.7828143437230,-567.9551689480650,-598.3920294755840
1.5395395395395400,-575.6518873024250,-590.5581937020750,-568.1987341596590,-598.0113469589590
1.5396396396396400,-575.739467980221,-590.3335204974210,-568.4424418357570,-597.6305468701570
1.5397397397397400,-575.827124959257,-590.1087952757120,-568.6862896868750,-597.2496303197850
1.5398398398398400,-575.914242960233,-589.8846344204080,-568.9290471730860,-596.8698300934360
1.53993993993994,-575.9762772067730,-589.6855822138340,-569.1216247603390,-596.5402347744590
1.54004004004004,-575.9588123146480,-589.5660535462250,-569.15519169886,-596.3696741620130
1.5401401401401400,-575.8531903046820,-589.5347068160600,-569.012432048993,-596.3754650717480
1.5402402402402400,-575.7123192439960,-589.5386338046460,-568.7991619636710,-596.4517910849720
1.5403403403403400,-575.5693575228990,-589.5446760843030,-568.5816982421980,-596.5323353650040
1.5404404404404400,-575.4263828955550,-589.5507558634750,-568.3641964115960,-596.6129423474350
1.5405405405405400,-575.2833945398750,-589.5568738126100,-568.1466548463760,-596.6936133918460
1.5406406406406400,-575.1403927770740,-589.5630299159200,-567.9290742076510,-596.774348485343
1.5407407407407400,-574.9973774727190,-589.5692241562070,-567.7114542452570,-596.8551476122330
1.540840840840840,-574.8543492939280,-589.5754552575600,-567.4937963121120,-596.9360082393760
1.540940940940940,-574.711308218537,-589.5817237761440,-567.2761003825840,-597.016931497797
1.5410410410410400,-574.5682522792320,-589.5880317562280,-567.0583625407330,-597.0979214947270
1.541141141141140,-574.425182943423,-589.5943773501300,-566.8405857400700,-597.178974553483
1.5412412412412400,-574.2821011078680,-589.6007597379960,-566.622771792804,-597.2600890530600
1.5413413413413400,-574.1390050329280,-589.6071806221040,-566.4049172383400,-597.3412684166920
1.5414414414414400,-573.9958949256960,-589.6136396435580,-566.1870225095610,-597.422511945284
1.5415415415415400,-573.8527720262690,-589.6201358681170,-565.9690901053450,-597.5038177890410
1.5416416416416400,-573.7096359707630,-589.6266695079410,-565.751119316619,-597.585186390976
1.5417417417417400,-573.5664852486280,-589.6332414639380,-565.5331071409730,-597.6666195715940
1.5418418418418400,-573.4233208690020,-589.6398512617800,-565.3150556153710,-597.7481164009290
1.541941941941940,-573.2801438430570,-589.6464979674690,-565.096966780851,-597.8296750296740
1.542042042042040,-573.1369522019150,-589.653183169053,-564.8788367183450,-597.9112986526220
1.5421421421421400,-572.9937461547270,-589.6599067344760,-564.6606658648520,-597.9929870243510
1.5422422422422400,-572.8505278569190,-589.6666663564280,-564.4424585499060,-598.0747355489240
1.5423423423423400,-572.7072960263850,-589.6734635085970,-564.224212227983,-598.1565471924070
1.5424424424424400,-572.5640492683150,-589.6802996631410,-564.0059241281610,-598.2384249178130
1.5425425425425400,-572.4207889363490,-589.6871730854550,-563.7875969764050,-598.3203652746170
1.5426426426426400,-572.2775150100130,-589.6940836437080,-563.5692307504600,-598.4023680178520
1.5427427427427400,-572.1342267803830,-589.7010320095560,-563.3508240511700,-598.4844345095150
1.542842842842840,-571.9909247991450,-589.7080181670330,-563.1323780005910,-598.5665647363680
1.5429429429429400,-571.8476097347600,-589.7150415248500,-562.9138939543430,-598.6487575345220
1.543043043043040,-571.704280535315,-589.7221021806510,-562.6953698272920,-598.7310131179650
1.5431431431431400,-571.5609368333150,-589.729200464359,-562.47680490313,-598.8133321652180
1.5432432432432400,-571.4175790656410,-589.7363368189360,-562.2582000743120,-598.895715580902
1.5433433433433400,-571.2742073287960,-589.7435111106890,-562.0395555525320,-598.9781631163160
1.5434434434434400,-571.1308222907930,-589.7507217167950,-561.8208726925100,-599.0606715445140
1.5435435435435400,-570.98742289621,-589.7579696550430,-561.6021494020940,-599.14324291976
1.5436436436436400,-570.8440094684240,-589.7652554823170,-561.3833863467240,-599.2258783745090
1.5437437437437400,-570.7005819880240,-589.7725790662660,-561.1645835062710,-599.3085776627550
1.543843843843840,-570.5571397439100,-589.7799405068530,-560.9457394772290,-599.3913410031160
1.543943943943940,-570.4136842078,-589.7873382947790,-560.726857221715,-599.4741653956720
1.5440440440440400,-570.2702146711510,-589.7947731011500,-560.5079353413430,-599.5570522013410
1.5441441441441400,-570.1267299635540,-589.8022466330850,-560.2889715139800,-599.6400048530420
1.5442442442442400,-569.9832316719740,-589.80975738109,-560.0699689322430,-599.7230203504750
1.5443443443443400,-569.8397200062050,-589.8173041794700,-559.850928034418,-599.8060963809470
1.5444444444444400,-569.6961935665510,-589.8248883903360,-559.6318460397950,-599.8892356873650
1.5445445445445400,-569.5526522160850,-589.8325110320110,-559.4127226932220,-599.9724403250740
1.5446446446446400,-569.4090966243760,-589.8401712829810,-559.1935593525140,-600.0557086697240
1.5447447447447400,-569.2655272300690,-589.8478680927830,-558.9743569136660,-600.1390386390950
1.5448448448448400,-569.1219436676320,-589.8556016743150,-558.7551146642900,-600.2224306776560
1.544944944944950,-568.9783458014870,-589.8633724706860,-558.5358323519330,-600.3058856903310
1.545045045045050,-568.8347329193410,-589.8711816166480,-558.3165085706870,-600.3894059653020
1.5451451451451500,-568.69110615137,-589.8790274848140,-558.097145599602,-600.4729882664910
