,len_prop,100,200,300,400,500,600,700
26,230.0,0.0016551224953811,0.0028984302891847,0.0044409672907478,0.0059618009418469,0.0073982497901286,0.0092175470528264,0.0118681199482125
27,235.0,0.0017595531563426,0.0030476093900002,0.0046373431582996,0.0061979662315225,0.0076636328627725,0.0095150471057634,0.012215598760769
28,240.0,0.0018689272738733,0.003202758386742,0.0048406146423027,0.0064417081597895,0.0079369485890679,0.0098207512955717,0.0125717931520679
29,245.0,0.0019833954645265,0.0033640355062882,0.0050509459904472,0.0066931951337364,0.0082183651661493,0.0101348237266825,0.012936862112964
30,250.0,0.0021031102084482,0.0035316009374957,0.005268503266888,0.0069525963154417,0.0085080500995413,0.0104574274286127,0.0133109651589513
31,255.0,0.00222822584979,0.0037056166787679,0.0054934537601766,0.0072200808324724,0.0088061700756076,0.0107887253367732,0.0136942640994978
32,260.0,0.0023588985358883,0.0038862462393187,0.0057259653902953,0.0074958174589761,0.0091128916316238,0.0111288817636878,0.0140869242373312
33,265.0,0.0024952861031621,0.0040736543013892,0.0059662063553487,0.0077799749053737,0.0094283823434791,0.0114780637240815,0.0144891144490057
34,270.0,0.0026375479413234,0.0042680064726302,0.0062143451642035,0.0080727225968151,0.0097528120186458,0.0118364415219822,0.014901006065143
35,275.0,0.0027858448784239,0.0044694692241407,0.0064705510394439,0.0083742316043536,0.0100863533625791,0.0122041883076263,0.0153227709811765
36,280.0,0.0029403391223946,0.0046782100332389,0.0067349945140736,0.0086846753150316,0.0104291817969191,0.0125814787474354,0.0157545797726507
37,285.0,0.0031011942717686,0.0048943976615761,0.00700784795424,0.0090042295248392,0.0107814744628175,0.01296848733593,0.0161966006072722
38,290.0,0.0032685753786276,0.005118202437204,0.0072892857618317,0.0093330718769244,0.0111434087949948,0.0133653870478523,0.0166489994250516
39,295.0,0.0034426490230191,0.0053497964017772,0.0075794841399364,0.0096713808466517,0.01151516124964,0.0137723489031464,0.0171119413263217
40,300.0,0.003623583350825,0.0055893532361914,0.0078786204882566,0.0100193346778104,0.0118969067209852,0.014189542640813,0.0175855925869542
41,305.0,0.0038115480404003,0.005837047970333,0.0081868726581396,0.0103771107090222,0.0122888189020242,0.014617138226821,0.0180701224355421
42,310.0,0.0040067141922244,0.0060930565760257,0.0085044183657287,0.010744885376063,0.0126910714460308,0.0150553075545083,0.0185657038066596
43,315.0,0.0042092541689114,0.0063575555971693,0.0088314350048384,0.01112283489417,0.013103839437009,0.0155042255952662,0.0190725127028207
44,320.0,0.0044193414355477,0.0066307219608813,0.0091680999370185,0.0115111363319718,0.0135273005282412,0.01596407047143,0.0195907263838973
45,325.0,0.0046371504525516,0.0069127330414205,0.0095145911337645,0.0119099686102107,0.0139616352316779,0.0164350223718754,0.020120521111827
46,330.0,0.0048628566527535,0.0072037669419541,0.0098710878890165,0.0123195129749012,0.0144070261892778,0.0169172617245948,0.0206620703870193
47,335.0,0.0050966364995588,0.0075040028638595,0.0102377712798658,0.0127399527064048,0.0148636566898967,0.0174109673713368,0.021215544426884
48,340.0,0.0053386675873526,0.0078136213899049,0.01061482414988,0.0131714721455332,0.015331709026811,0.0179163155087826,0.0217811111236032
49,345.0,0.0055891287254983,0.008132804538006,0.0110024305871768,0.0136142554144016,0.0158113633777161,0.0184334798537446,0.0223589380918521
50,350.0,0.0058481999513613,0.0084617355351918,0.0114007750853064,0.0140684853524996,0.0163027976848249,0.0189626329772572,0.0229491949395294
51,355.0,0.0061160624456308,0.0088005983799356,0.0118100417179657,0.0145343431132746,0.0168061885980059,0.0195039482500675,0.0235520547784215
52,360.0,0.0063928983645469,0.0091495773545723,0.0122304136639035,0.0150120085963628,0.0173217130898285,0.0200576015647664,0.0241676942905498
53,365.0,0.0066788906391938,0.009508856677524,0.0126620732798876,0.0155016615387746,0.017849550052287,0.0206237720731709,0.0247962922684486
54,370.0,0.0069742228091126,0.0098786204313661,0.0131052026901464,0.0160034827989415,0.0183898811716228,0.0212026415775207,0.0254380271950729
55,375.0,0.0072790789449902,0.0102590527898404,0.0135599846386697,0.0165176552713664,0.0189428906672151,0.0217943927814148,0.0260930748573725
56,380.0,0.0075936436790846,0.0106503384389925,0.0140266032290944,0.0170443640094845,0.0195087639546143,0.022399207099504,0.0267616069938098
57,385.0,0.0079181023169957,0.0110526630004616,0.0145052442127465,0.017583795461565,0.0200876857550631,0.0230172629324144,0.0274437915623896
58,390.0,0.0082526409675095,0.0114662132561342,0.0149960946668893,0.0181361360992741,0.0206798384246365,0.0236487351372807,0.0281397945353794
59,395.0,0.0085974466171982,0.0118911770527625,0.0154993421631567,0.0187015709896035,0.0212854012063715,0.0242937959349713,0.0288497824741266
60,400.0,0.0089527070969591,0.012327742895946,0.0160151737452374,0.0192802828988379,0.0219045507308723,0.0249526168839436,0.0295739247861826
61,405.0,0.0093186109317941,0.0127760993782089,0.0165437751291201,0.0198724523096885,0.02253746256919,0.0256253710884326,0.0303123946747789
62,410.0,0.0096953471145111,0.0132364346605492,0.0170853304553502,0.0204782583517083,0.0231843131842565,0.0263122346844981,0.0310653683264255
63,415.0,0.0100831048785751,0.0137089362125103,0.0176400226981382,0.0210978802566257,0.023845281440209,0.0270133869325571,0.0318330226216998
64,420.0,0.0104820735483682,0.0141937909120215,0.0182080345583522,0.0217314987123161,0.0245205489942755,0.0277290088225538,0.0326155322927229
65,425.0,0.0108924425147809,0.0146911854555472,0.0187895494547616,0.022379296516938,0.0252102993539032,0.0284592807295002,0.0334130677057082
66,430.0,0.0113144013326583,0.0152013068946175,0.0193847521740577,0.0230414582131533,0.0259147159461196,0.029204380076648,0.0342257942120295
