wavl,2,N
1.5819095477386935,-587.9187139283443,-620.8703454315607
1.5824120603015075,-589.6043997758189,-624.5677594956726
1.5829145728643217,-591.2939046755118,-628.272699740979
1.5834170854271357,-592.9872285779874,-631.9851684332077
1.58391959798995,-594.6843714192354,-635.7051678089099
1.5844221105527638,-596.3853332159715,-639.4327002661048
1.584924623115578,-598.0901138618829,-643.1677679567509
1.585427135678392,-599.7987133506973,-646.9103732328906
1.5859296482412062,-601.5111316290828,-650.6605183524308
1.5864321608040202,-603.2273686003505,-654.4182054865914
1.5869346733668344,-604.9474243160779,-658.1834371030989
1.5874371859296483,-606.6712986467894,-661.9562153075917
1.5879396984924623,-608.3989915824648,-665.7365424446139
1.5884422110552765,-610.1305031327156,-669.5244208979675
1.5889447236180905,-611.8658331448221,-673.3198527267919
1.5894472361809049,-613.3636378580338,-676.640152774187
1.5899497487437186,-613.0757626691169,-676.3890141982455
1.5904522613065328,-609.4932586626289,-669.5485415326798
1.5909547738693468,-603.7170909129617,-658.3206672908599
1.5914572864321608,-597.4896753901496,-646.1902257774223
1.591959798994975,-591.2506514787544,-634.0364981260894
1.592462311557789,-585.0003408789082,-621.8601301017029
1.5929648241206031,-578.7387340434498,-609.6611049745226
1.5934673366834171,-572.4658213505345,-597.4394058654434
1.5939698492462313,-566.1815932492593,-585.1950160372404
1.5944723618090453,-559.8860402550986,-572.9279188854497
1.5949748743718597,-553.5791526798638,-560.6380973982722
1.5954773869346734,-547.2609209773524,-548.3255348478917
1.5959798994974874,-540.9313356407674,-535.9902145852938
1.5964824120603016,-534.5903870869618,-523.6321198087647
1.5969849246231156,-528.2380657178487,-511.2512336867213
1.5974874371859298,-521.8743619267934,-498.84753937047213
1.5979899497487438,-515.4992662313217,-486.4210202596554
1.598492462311558,-509.1127690300625,-473.97165951610936
1.598994974874372,-502.7148607067888,-461.49944027196494
