wavl,2,N
1.5025125628140700,756.7554136671390,882.5554122147690
1.5040201005025100,617.9031074425320,737.2939839886420
1.5055276381909500,478.72546170280400,591.6486606280450
1.507035175879400,339.24444968480800,445.66337350810400
1.508542713567840,199.1919627682200,298.80190672753900
1.5100502512562800,57.32558606119030,148.57944557891100
1.5115577889447200,-87.29017496453320,-6.8750129659476600
1.5130653266331700,-233.65002761268400,-165.55088312899600
1.514572864321610,-380.5681275142980,-325.07646518831700
1.5160804020100500,-527.8251440848120,-485.0131109381070
1.5175879396984900,-675.4435264990740,-645.4057152462630
1.5190954773869300,-824.3148540466020,-808.0374301311750
1.5206030150753800,-976.4240897741610,-976.8781896110690
1.522110552763820,-1132.1063032709600,-1152.5981361237400
1.5236180904522600,-1289.4549617517500,-1331.3841876660100
1.5251256281407000,-1447.2688976107200,-1510.8340130490500
1.5266331658291500,-1605.472901528940,-1690.7972118025100
1.5281407035175900,-1763.4021208927600,-1869.9440662104600
1.5296482412060300,-1914.897748656950,-2035.9569575660500
1.5311557788944700,-2052.3807387131900,-2173.6777971715200
1.5326633165829100,-2179.192789471170,-2289.7899871051500
1.5341708542713600,-2303.4545135917200,-2400.5347513661400
1.535678391959800,-2427.878306745770,-2511.3368747034300
1.537185929648240,-2552.4848147662700,-2622.237651728940
1.5386934673366800,-2678.517018538270,-2735.7230449709400
1.5402010050251300,-2810.5773978410800,-2860.9980154237200
1.5417085427135700,-2951.378160152740,-3003.486977179060
1.54321608040201,-3096.9337444871700,-3155.218809922310
1.5447236180904500,-3243.3492283280500,-3308.4036645855100
1.5462311557788900,-3390.0660305471300,-3461.92438320513
1.5477386934673400,-3536.9970347964200,-3615.6067353008600
1.5492462311557800,-3682.045574600210,-3765.2573685655400
1.550753768844220,-3821.2605196105400,-3902.9740399156300
1.5522613065326600,-3954.598027131970,-4028.6690790772200
1.5537688442211100,-4085.960122590040,-4150.146506469900
1.5552763819095500,-4217.43833390887,-4271.589386457910
1.5567839195979900,-4349.119860407330,-4393.172133395260
1.558291457286430,-4482.020013808200,-4516.925349853480
1.5597989949748700,-4623.257927857100,-4657.087309592980
1.5613065326633200,-4780.237596494300,-4828.466015971810
1.5628140703517600,-4948.208100899240,-5021.559613074060
1.564321608040200,-5118.862519215100,-5219.7542572700300
1.565829145728640,-5289.941518630510,-5418.531299165840
1.5673366834170900,-5461.426683570720,-5617.853891091580
1.5688442211055300,-5631.141034499030,-5813.3680781475000
1.5703517587939700,-5792.515971982370,-5991.936671511210
1.571859296482410,-5942.729293029220,-6147.915246259930
1.5733668341708500,-6087.749239769110,-6293.240296334490
1.5748743718593000,-6232.493582969070,-6437.747380464180
1.5763819095477400,-6377.496129239660,-6582.50408855398
1.5778894472361800,-6522.81046714221,-6727.617589833770
1.579396984924620,-6669.294255736010,-6874.803236946880
1.5809045226130700,-6818.324179194670,-7026.814379217970
1.5824120603015100,-6969.692915893220,-7183.236350216700
1.5839195979899500,-7122.003159548770,-7341.274583736210
1.5854271356783900,-7274.621676486280,-7499.662588774430
1.586934673366830,-7427.53261178478,-7658.368630706720
1.5884422110552800,-7580.888536163380,-7817.697895693890
1.5899497487437200,-7735.518956637980,-7979.309383693820
1.5914572864321600,-7892.141006473570,-8144.637340257750
1.592964824120600,-8050.123149512810,-8312.418715320800
