wavl,"AS( double 3.00,0.00)"
1.5194144144144144,-596.4146528808524
1.5195045045045044,-596.3504779614759
1.5195945945945946,-596.2863160124343
1.5196846846846843,-596.2221670200834
1.5197747747747747,-596.1580309707679
1.5198648648648647,-596.093907850829
1.519954954954955,-596.0297976466172
1.520045045045045,-595.9657003444881
1.520135135135135,-595.9016159307685
1.520225225225225,-595.837544391823
1.5203153153153153,-595.7734857139894
1.5204054054054053,-595.7094398836107
1.5204954954954957,-595.6454068870444
1.5205855855855854,-595.5813867106281
1.5206756756756756,-595.5173793407084
1.5207657657657656,-595.4533847636358
1.5208558558558558,-595.3894029657567
1.5209459459459458,-595.3254339334107
1.521036036036036,-595.2614776529517
1.521126126126126,-595.1975341107245
1.5212162162162162,-595.1336032930722
1.521306306306306,-595.0696851863468
1.5213963963963963,-595.0057797768914
