wavl,"AS(5.00,0.00)","S(5.00,0.00)","AS( double 5.00,0.00)","S( double 5.00,0.00)"
1.5848484848484847,-588.3538765851077,-517.7696682661788,-623.6459807445729,-482.4775641067148
1.587878787878788,-588.35018366469,-513.851462170299,-625.5995444117523,-476.6021014229701
1.5909090909090908,-588.7905291151461,-509.4954869118546,-628.438050216658,-469.84796581007504
1.5939393939393938,-589.7709110710736,-504.60470730087394,-632.3540129562399,-462.0216054158408
1.596969696969697,-590.5674726995663,-499.90194311352536,-635.9002374924524,-454.5691783203704
1.6,-588.7393478662609,-497.8270234295833,-634.1955100843303,-452.3708612109749
1.603030303030303,-582.4453027110551,-500.22014505444525,-623.557881539426,-459.1075662262063
1.606060606060606,-573.6912687062757,-505.0743394591865,-607.9997333301576,-470.7658748359793
1.6090909090909091,-567.8513598762638,-507.0144555636576,-598.2698120329751,-476.5960034077627
1.612121212121212,-569.7357822055837,-501.2292503275109,-603.9890481447583,-466.9759843886124
1.615151515151515,-577.9681679738344,-489.0940544162887,-622.4052247524727,-444.65699763738144
1.6181818181818182,-586.6334966491676,-476.5228513068646,-641.6888193201828,-421.46752863557685
1.621212121212121,-590.8803709371925,-468.3660012374252,-652.1375557868691,-407.10881638733434
1.6242424242424245,-590.1296859621424,-465.2015720286281,-652.5937429287603,-402.7375150617316
1.6272727272727272,-587.5178574583138,-463.89211089037696,-649.3307307422119,-402.0792376063383
1.6303030303030304,-585.5729421330356,-461.90852405995776,-647.405151169644,-400.07631502348846
1.6333333333333333,-584.8322689306015,-458.7124455372735,-647.8921806274046,-395.6525338407488
1.6363636363636362,-584.7849593536889,-454.8137167638484,-649.7705806486091,-389.82809546892815
1.6393939393939394,-585.111345927011,-450.53096816041705,-652.4015348104497,-383.2407792772617
1.6424242424242423,-586.0098324095015,-445.6647589114,-656.1823691585523,-375.49222216234926
1.6454545454545455,-587.2932523187562,-440.4012184442469,-660.7392692558693,-366.9552015068506
1.6484848484848484,-587.54664876732,-436.1542665914551,-663.2428398552524,-360.45807550352265
1.6515151515151514,-584.5792597504051,-435.1136283014303,-659.3120754748924,-360.38081257694296
1.6545454545454543,-578.3516465696304,-437.3177052173195,-648.8686172457858,-366.800734541164
1.6575757575757577,-572.0157733114013,-439.61349619690696,-638.2169118685039,-373.4123576395151
1.6606060606060606,-570.2548231268136,-437.3167810342807,-636.7238441730074,-370.84775998794163
1.6636363636363636,-574.8710465070023,-428.624272182656,-647.9944336693202,-355.5008850206275
1.6666666666666663,-582.2151157899127,-417.1842602475476,-664.7305435610947,-334.6688324763644
1.6696969696969697,-586.4198122275849,-408.8629269223928,-675.1982548801809,-320.0844842697968
1.6727272727272726,-584.1028400920974,-407.04153087989965,-672.6334946984911,-318.5108762740955
1.6757575757575758,-577.6159159818393,-409.3673184645386,-661.7402147405635,-325.24301970596207
1.6787878787878787,-573.9824292322079,-408.8158632856635,-656.5657122049608,-326.2325803118721
1.6818181818181817,-579.8526270048643,-398.73588112862205,-670.4109999427621,-308.1775081902776
1.6848484848484848,-594.3352504126976,-380.0175938236724,-701.494078707508,-272.85876552945757
1.6878787878787878,-605.0798600239191,-365.0104037451355,-725.1145881633847,-244.97567560581746
1.690909090909091,-591.9709229168336,-373.8288067612628,-701.0419809947704,-264.7577486836286
1.693939393939394,-549.1250056458244,-412.3551992617173,-617.5099088381805,-343.97029606996625
