wavl,"double(5.00,0.00)"
1.5107107107107107,-603.4387513430738
1.510810810810811,-603.3658480938848
1.510910910910911,-603.2929626549812
1.511011011011011,-603.2200950076822
1.511111111111111,-603.147245133292
1.5112112112112113,-603.0744130131188
1.5113113113113112,-603.0015986284707
1.5114114114114114,-602.9288019606647
1.5115115115115114,-602.8560229909981
1.5116116116116116,-602.7832617007953
1.5117117117117118,-602.710518071357
1.5118118118118118,-602.6377920839968
1.511911911911912,-602.5650837200228
1.512012012012012,-602.492392960743
1.5121121121121122,-602.4197197874691
1.5122122122122121,-602.3470641815093
1.5123123123123123,-602.2744261241696
1.5124124124124125,-602.201805596771
1.5125125125125125,-602.1292025806124
1.5126126126126127,-602.0566170570073
1.5127127127127127,-601.9840490072675
1.5128128128128129,-601.9114984127027
1.5129129129129129,-601.8389652546175
1.513013013013013,-601.7664495143254
1.513113113113113,-601.6939511731343
1.5132132132132132,-601.6214702123507
1.5133133133133134,-601.5490066132934
1.5134134134134134,-601.4765603572669
1.5135135135135136,-601.4041314255755
1.5136136136136136,-601.3317197995384
1.5137137137137138,-601.2593254604635
1.5138138138138137,-601.1869483896535
1.513913913913914,-601.1145885684236
1.514014014014014,-601.0422459780839
1.5141141141141141,-600.9699205999386
1.5142142142142143,-600.8976124152996
1.5143143143143143,-600.8253214054839
1.5144144144144145,-600.7530475517942
1.5145145145145145,-600.6807908355422
1.5146146146146147,-600.6085512380378
1.5147147147147146,-600.5363287405871
1.5148148148148148,-600.4641233245038
1.514914914914915,-600.3919349710923
1.515015015015015,-600.3197636616696
1.5151151151151152,-600.2476093775367
1.5152152152152152,-600.1754721000125
1.5153153153153154,-600.1033518104032
1.5154154154154154,-600.0312484900187
1.5155155155155156,-599.9591621201671
1.5156156156156155,-599.8870926821564
1.5157157157157157,-599.8150401573002
1.515815815815816,-599.7430045269011
1.515915915915916,-599.6709857722799
1.516016016016016,-599.5989838747373
1.516116116116116,-599.5269988155869
1.5162162162162163,-599.4550305761386
1.5163163163163162,-599.3830791377004
1.5164164164164164,-599.311144481584
1.5165165165165164,-599.2392265890958
1.5166166166166166,-599.1673254415509
1.5167167167167168,-599.0954410202503
1.5168168168168168,-599.0235733065092
1.516916916916917,-598.9517222816357
1.517017017017017,-598.8798879269416
1.5171171171171172,-598.8080702237366
1.5172172172172171,-598.736269153329
1.5173173173173173,-598.6644846970303
1.5174174174174175,-598.5927168361504
1.5175175175175175,-598.520965551992
1.5176176176176177,-598.4492308258687
1.5177177177177177,-598.377512639092
1.5178178178178179,-598.3058109729682
1.5179179179179179,-598.2341258088145
1.518018018018018,-598.1624571279353
1.518118118118118,-598.0908049116406
