wavl,"(2.50,0.00)","(2.55,0.00)","(2.60,0.00)","(2.65,0.00)","(2.70,0.00)","(2.75,0.00)","(2.80,0.00)","(2.85,0.00)","(2.90,0.00)","(2.95,0.00)","(3.00,0.00)","(3.05,0.00)","(3.10,0.00)","(3.15,0.00)","(3.20,0.00)","(3.25,0.00)","(3.30,0.00)","(3.35,0.00)","(3.40,0.00)","(3.45,0.00)","(3.50,0.00)","(0.00,2.00)","(0.00,0.20)","(0.00,1.00)","(4.00,0.00)","(5.00,0.00)"
1.5101010101010102,623.5290534736305,623.5179739915483,623.5068961469545,623.4958199287854,623.4847444417696,623.473670546142,623.4625973549295,623.4515257246788,623.440454764729,623.4293835936389,623.418314799489,623.407248364761,623.3961799357269,623.3851155709099,623.3740509073618,623.3629868090055,623.3519249889343,623.3408628249538,623.3298046458974,623.3187452258165,623.3076862833366,6662.428528482788,6662.428528482788,2383.374025581542,-2371.12188283247,-2876.118393787491
1.511111111111111,535.9976665664037,535.9887682338936,535.9798704555111,535.9709749517257,535.9620790994206,535.9531837532987,535.9442888967639,535.9353962502854,535.9265040602015,535.9176123108382,535.9087227171326,535.8998326688765,535.8909447476959,535.8820554647075,535.8731682792903,535.8642823035495,535.8553966541999,535.8465121868664,535.8376288803427,535.8287458531877,535.8198639536502,6421.61909038809,6421.61909038809,2411.1202766895703,-2398.737939729488,-2894.6860647417207
1.5121212121212122,448.3487073688005,448.3419922428653,448.3352774525416,448.3285629839991,448.32185056139537,448.3151375579257,448.3084256922157,448.30171408190216,448.2950027131551,448.2882941768207,448.2815849794057,448.27487509970376,448.268168003548,448.2614593289123,448.2547534073965,448.2480467399751,448.2413427897153,448.2346389353444,448.22793255190186,448.2212297034432,448.2145277751499,6179.731745351108,6179.731745351108,2438.8771804907938,-2426.364598772075,-2913.2584425183036
1.513131313131313,360.582170507519,360.57764151277246,360.573113510108,360.5685847394098,360.5640551822376,360.5595300543983,360.555002365217,360.550475587903,360.5459488299512,360.541423820129,360.5368988056969,360.5323737580724,360.5278495430224,360.5233270097174,360.51880265821,360.51427995894335,360.5097588925552,360.50523509148735,360.5007137650926,360.4961940236319,360.4916732384567,5936.766494116795,5936.766494116795,2466.644611663977,-2454.001754920137,-2931.8354303293368
1.5141414141414142,272.69804090583455,272.69570096689034,272.6933618052,272.6910216523496,272.688681375028,272.68634181502966,272.6840038436534,272.6816656924853,272.67932646994234,272.67698791032416,272.6746491220476,272.67231270702314,272.6699751597712,272.66763820813725,272.6653000929276,272.662965152196,272.6606255341111,272.658289060078,272.6559548458898,272.653619385145,272.6512826640135,5692.723337846916,5692.723337846916,2494.422922854793,-2481.649730829448,-2950.417378728932
1.5151515151515151,184.69634103395137,184.6961922050463,184.696043057126,184.69589532817807,184.69574899238623,184.69559879982936,184.6954525949629,184.69530424458063,184.69515635612512,184.69500803801324,184.69485927457083,184.69471179456545,184.6945629656604,184.6944145147791,184.6942672993904,184.69411955937835,184.693970405926,184.69382418261927,184.6936756358491,184.69352737766783,184.69338025448005,5447.602274943719,5447.602274943719,2522.2120767627,-2509.308499172528,-2969.004089840024
1.5161616161616165,96.57706648936056,96.57911343862796,96.58115897998708,96.5832065940232,96.58525276603667,96.58729923032718,96.5893433444158,96.59138859534198,96.59343583596431,96.5954806839724,96.5975257403546,96.599569240385,96.60161379796014,96.603657639134,96.60570337780314,96.6077457492941,96.60979172952966,96.61183518714763,96.6138769759287,96.61591970608131,96.61796335732126,5201.403305630513,5201.403305630513,2550.0119610593265,-2536.977947415092,-2987.595382218884
1.5171717171717172,8.3402132078172,8.344457985805846,8.348702888265748,8.352945269952087,8.357188621592272,8.361432043305157,8.365673774052894,8.369915545369054,8.374158217488358,8.378399151620016,8.382640952440468,8.386880980236953,8.391120967465028,8.395360901216534,8.399599888064458,8.403838788243505,8.408076708326604,8.41231451039252,8.416552178767077,8.420788817257176,8.425025289785609,4954.126431456689,4954.126431456689,2577.8224554391218,-2564.657945321556,-3006.191628938185
1.5181818181818183,-80.0142162041693,-80.0077706673137,-80.00132523187911,-79.99488165337137,-79.98843908446385,-79.98199577702685,-79.9755526318635,-79.96911141462168,-79.96267214097558,-79.95623132480783,-79.94979160767524,-79.94335212842104,-79.93691378600438,-79.93047571373647,-79.92403968464127,-79.91760308113423,-79.91116767808337,-79.90473260972193,-79.89829702042518,-79.89186442858083,-79.88543134253946,4705.771650687146,4705.771650687146,2605.643745256668,-2592.3487085959778,-3024.7926999223173
1.5191919191919192,-168.48622311944308,-168.47757302504198,-168.4689258773828,-168.46027730614114,-168.45163083431478,-168.44298560074697,-168.43434074335897,-168.42569627966898,-168.4170539808569,-168.4084112311823,-168.3997715573309,-168.39113058436828,-168.3824900871625,-168.37385183320546,-168.3652140881976,-168.3565777400339,-168.3479401785059,-168.33930580252016,-168.33067024267447,-168.32203790525142,-168.31340440978462,4456.338964203567,4456.338964203567,2633.475936071555,-2620.050322670473,-3043.3982156722027
