wavl,"AS(2.50,0.00)","AS(2.60,0.00)","AS(2.70,0.00)","AS(2.80,0.00)","AS(2.90,0.00)","AS(3.00,0.00)","AS(3.10,0.00)","AS(3.20,0.00)","AS(3.30,0.00)","AS(3.40,0.00)","AS(3.50,0.00)"
1.5107715430861723,-602.6337119269865,-602.6337119269865,-602.6337119269865,-602.6337119269865,-602.6337119269865,-602.6337119269865,-602.6337119269865,-602.6337119269865,-602.6337119269865,-602.6337119269865,-602.6337119269865
1.5109519038076151,-602.5026295681728,-602.5026295681728,-602.5026295681728,-602.5026295681728,-602.5026295681728,-602.5026295681728,-602.5026295681728,-602.5026295681728,-602.5026295681728,-602.5026295681728,-602.5026295681728
1.511132264529058,-602.3716043898949,-602.3716043898949,-602.3716043898949,-602.3716043898949,-602.3716043898949,-602.3716043898949,-602.3716043898949,-602.3716043898949,-602.3716043898949,-602.3716043898949,-602.3716043898949
1.511312625250501,-602.2406362825932,-602.2406362825932,-602.2406362825932,-602.2406362825932,-602.2406362825932,-602.2406362825932,-602.2406362825932,-602.2406362825932,-602.2406362825932,-602.2406362825932,-602.2406362825932
1.5114929859719437,-602.10972513671,-602.10972513671,-602.10972513671,-602.10972513671,-602.10972513671,-602.10972513671,-602.10972513671,-602.10972513671,-602.10972513671,-602.10972513671,-602.10972513671
1.5116733466933867,-601.9788708426895,-601.9788708426895,-601.9788708426895,-601.9788708426895,-601.9788708426895,-601.9788708426895,-601.9788708426895,-601.9788708426895,-601.9788708426895,-601.9788708426895,-601.9788708426895
1.5118537074148295,-601.8480732909738,-601.8480732909738,-601.8480732909738,-601.8480732909738,-601.8480732909738,-601.8480732909738,-601.8480732909738,-601.8480732909738,-601.8480732909738,-601.8480732909738,-601.8480732909738
1.5120340681362725,-601.7173323720035,-601.7173323720035,-601.7173323720035,-601.7173323720035,-601.7173323720035,-601.7173323720035,-601.7173323720035,-601.7173323720035,-601.7173323720035,-601.7173323720035,-601.7173323720035
1.5122144288577153,-601.586647976228,-601.586647976228,-601.586647976228,-601.586647976228,-601.586647976228,-601.586647976228,-601.586647976228,-601.586647976228,-601.586647976228,-601.586647976228,-601.586647976228
1.5123947895791583,-601.4560199940806,-601.4560199940806,-601.4560199940806,-601.4560199940806,-601.4560199940806,-601.4560199940806,-601.4560199940806,-601.4560199940806,-601.4560199940806,-601.4560199940806,-601.4560199940806
1.512575150300601,-601.3254483160126,-601.3254483160126,-601.3254483160126,-601.3254483160126,-601.3254483160126,-601.3254483160126,-601.3254483160126,-601.3254483160126,-601.3254483160126,-601.3254483160126,-601.3254483160126
1.512755511022044,-601.1949328324608,-601.1949328324608,-601.1949328324608,-601.1949328324608,-601.1949328324608,-601.1949328324608,-601.1949328324608,-601.1949328324608,-601.1949328324608,-601.1949328324608,-601.1949328324608
1.5129358717434869,-601.0644734338694,-601.0644734338694,-601.0644734338694,-601.0644734338694,-601.0644734338694,-601.0644734338694,-601.0644734338694,-601.0644734338694,-601.0644734338694,-601.0644734338694,-601.0644734338694
1.5131162324649297,-600.9340700106823,-600.9340700106823,-600.9340700106823,-600.9340700106823,-600.9340700106823,-600.9340700106823,-600.9340700106823,-600.9340700106823,-600.9340700106823,-600.9340700106823,-600.9340700106823
1.5132965931863729,-600.8037224533418,-600.8037224533418,-600.8037224533418,-600.8037224533418,-600.8037224533418,-600.8037224533418,-600.8037224533418,-600.8037224533418,-600.8037224533418,-600.8037224533418,-600.8037224533418
1.5134769539078154,-600.6734306522885,-600.6734306522885,-600.6734306522885,-600.6734306522885,-600.6734306522885,-600.6734306522885,-600.6734306522885,-600.6734306522885,-600.6734306522885,-600.6734306522885,-600.6734306522885
1.5136573146292585,-600.54319449797,-600.54319449797,-600.54319449797,-600.54319449797,-600.54319449797,-600.54319449797,-600.54319449797,-600.54319449797,-600.54319449797,-600.54319449797,-600.54319449797
1.5138376753507012,-600.4130138808232,-600.4130138808232,-600.4130138808232,-600.4130138808232,-600.4130138808232,-600.4130138808232,-600.4130138808232,-600.4130138808232,-600.4130138808232,-600.4130138808232,-600.4130138808232
1.5140180360721442,-600.2828886912957,-600.2828886912957,-600.2828886912957,-600.2828886912957,-600.2828886912957,-600.2828886912957,-600.2828886912957,-600.2828886912957,-600.2828886912957,-600.2828886912957,-600.2828886912957
1.514198396793587,-600.1528188198245,-600.1528188198245,-600.1528188198245,-600.1528188198245,-600.1528188198245,-600.1528188198245,-600.1528188198245,-600.1528188198245,-600.1528188198245,-600.1528188198245,-600.1528188198245
1.51437875751503,-600.0228041568589,-600.0228041568589,-600.0228041568589,-600.0228041568589,-600.0228041568589,-600.0228041568589,-600.0228041568589,-600.0228041568589,-600.0228041568589,-600.0228041568589,-600.0228041568589
1.5145591182364728,-599.8928445928341,-599.8928445928341,-599.8928445928341,-599.8928445928341,-599.8928445928341,-599.8928445928341,-599.8928445928341,-599.8928445928341,-599.8928445928341,-599.8928445928341,-599.8928445928341
1.5147394789579158,-599.7629400181977,-599.7629400181977,-599.7629400181977,-599.7629400181977,-599.7629400181977,-599.7629400181977,-599.7629400181977,-599.7629400181977,-599.7629400181977,-599.7629400181977,-599.7629400181977
1.5149198396793586,-599.6330903233975,-599.6330903233975,-599.6330903233975,-599.6330903233975,-599.6330903233975,-599.6330903233975,-599.6330903233975,-599.6330903233975,-599.6330903233975,-599.6330903233975,-599.6330903233975
1.5151002004008014,-599.5032953988666,-599.5032953988666,-599.5032953988666,-599.5032953988666,-599.5032953988666,-599.5032953988666,-599.5032953988666,-599.5032953988666,-599.5032953988666,-599.5032953988666,-599.5032953988666
