wavl,"AS(2.50,0.00)","AS(2.60,0.00)","AS(2.70,0.00)","AS(2.80,0.00)","AS(2.90,0.00)","AS(3.00,0.00)","AS(3.10,0.00)","AS(3.20,0.00)","AS(3.30,0.00)","AS(3.40,0.00)","AS(3.50,0.00)"
1.5408917835671343,22.743552850741025,51.878758023428645,63.79862352939733,59.74104204776313,35.56067777371754,0.1930780062400572,-54.3631384974924,-117.68041716541784,-174.21922620255083,-237.9525187291115,-295.3993847122111
1.541072144288577,27.055638141912027,58.66957998363387,73.23880930842893,72.75068082610812,52.33841498053357,19.984711785011427,-31.83067780384954,-93.79840673518362,-150.64169142495228,-216.665257114248,-278.504821464646
1.54125250501002,31.37047603294525,65.4648877455154,82.68533818217156,85.769170005364,69.12765435389474,39.78997268737396,-9.282652064815466,-69.89986812866965,-127.04782845029666,-195.36325996131345,-261.5985932165636
1.5414328657314629,35.68806730795632,72.26468250450591,92.13821178446688,98.79651181017856,85.9283987474372,59.60886406746033,13.28094253416748,-45.98479730201814,-103.43763327804344,-174.04652363791433,-244.68069705233376
1.5416132264529057,40.00841275131916,79.06896545475252,101.5974317517431,111.83270847061,102.74065101866417,79.44138928522068,35.860109814425414,-22.053190201833104,-79.8111018986848,-152.71504450160216,-227.75113004311982
1.541793587174349,44.33151308408628,85.87773771805018,111.06299963467757,124.87776211984692,119.56441391528392,99.28755158223773,58.45485346680607,1.894957086559657,-56.168230445047925,-131.36881906078662,-210.8098894175385
1.5419739478957917,48.65736904626931,92.69100043613378,120.53491700753534,137.93167491538054,136.39969021390868,119.14735423386615,81.06517721741113,25.85964851229562,-32.5090150143036,-110.00784378475134,-193.85697236430957
1.5421543086172345,52.98598142352808,99.50875480642684,130.01318550799692,150.99444908861972,153.2464827734135,139.02080060182595,103.69108488939094,49.840888131135785,-8.833451592934807,-88.63211502826914,-176.8923759514086
1.5423346693386772,57.31735092329564,106.3310019319996,139.49780666531785,164.0660867467875,170.10479431420185,158.90789389251267,126.33258013567888,73.83867981631272,14.85846364079248,-67.24162934724416,-159.91609745635031
1.5425150300601205,61.6514783251472,113.15774300591374,148.98878211266253,177.14659011641857,186.9746276900117,178.80863746727175,148.98966677910073,97.85302762063998,38.56673469786904,-45.836383096529175,-142.92813394962837
1.542695390781563,65.98836440037394,119.98897920840363,158.48611346806263,190.235961408698,203.85598573548248,198.7230346633835,171.66234861533303,121.88393557065648,62.29136556214769,-24.416372661176183,-125.92848253115977
1.542875751503006,70.32800983879702,126.82471161759211,167.9898022341622,203.33420269589635,220.74887113149123,218.6510886445135,194.3506292474568,145.9314074858313,86.03235999781509,-2.981594659289499,-108.91714054334733
1.5430561122244488,74.67041543024266,133.66494144017645,177.499850057074,216.4413162195915,237.65328675058456,238.592802789855,217.05451251897605,169.99544744168338,109.78972204061928,18.467954579767703,-91.8941050297276
1.5432364729458916,79.01558194370432,140.50966985458183,187.01625855440648,229.5573041924236,254.56923542918005,258.54818043871,239.77400222969243,194.07605946881324,133.5634556798965,39.932278678257376,-74.85937308194326
1.5434168336673346,83.36351010765861,147.35889798763833,196.5390292833971,242.68216875181545,271.4967199209791,278.5172248363299,262.5091020720598,218.1732474834461,157.3535647802704,61.41138112437386,-57.81294193192889
1.5435971943887774,87.71420066449832,154.2126269837628,206.06816381929832,255.81591205528773,288.4357430040733,298.4999392576567,285.2598157726849,242.28701543550983,181.1600532450097,82.90526544761315,-40.75480877007715
1.5437775551102204,92.0676543620765,161.07085799615584,215.6036637513816,268.95853627882286,305.3863074709216,318.49632699341066,308.0261470775763,266.4173672954352,204.9829249991064,104.41393520133283,-23.684970762388843
1.5439579158316632,96.42387198433198,167.9335922232898,225.145530717288,282.11004365812244,322.34841618796804,338.506391413852,330.8080998207779,290.56430713283544,228.8221840714773,125.93739404981102,-6.6034249548258686
1.5441382765531062,100.78285427232116,174.80083080695056,234.6937662927395,295.2704363499612,339.3220719332752,358.53013579447645,353.6056777286873,314.7278388994639,252.6778343668404,147.4756455241111,10.489831465006432
1.544318637274549,105.14460194598212,181.6725748649856,244.24837202401648,308.4397164801868,356.3072774415732,378.5675633601186,376.4188844715351,338.907966483207,276.54987972046763,169.02869308137667,27.594801229263908
1.544498997995992,109.50911578850594,188.548825593766,253.80934954590063,321.6178862806246,373.3040355775125,398.6186774783629,399.2477238804573,363.1046939495395,300.4383241595867,190.59654038289284,44.71148728880678
1.5446793587174348,113.8744029379652,195.4269647430242,263.37359528252205,334.8015514859245,390.3093054363221,418.6815979858518,422.0931017882135,387.3236635626721,324.3546404436006,212.19960104745732,61.871408201518534
1.5448597194388778,117.91468177965204,201.87894803672,272.43368548993726,347.4356911484183,406.8257097253368,438.4485479523918,445.1024379553322,412.4862571098225,350.17300176505466,237.17316907064549,84.22467577566351
1.5450400801603206,120.6287156892064,206.5892509065311,279.4301352388751,357.81453710916946,421.3246371125183,456.9736198944224,468.7287945648884,441.42417864966217,383.6533566972787,275.7677032596601,127.59928814877162
1.5452204408817634,121.57652253890105,208.979781039121,283.67764673264526,365.188509316063,433.1343575067908,473.8411468240472,493.1712668021805,475.38179165755696,427.3268537324924,332.48765753900864,198.95068754194403
